
CONSCALERA1

"Nombre del ordenador:","CONSCALERA1"
"Descripción de la computadora:","ConsCalera1"
"Nombre de la marca de la computadora:","HP HP ProDesk 400 G7 Small Form Factor PC"
"Sistema operativo:","Microsoft Windows 10 Professional (x64) Build 19045.2006"
"Arranque UEFI:","Presente"
"Arranque seguro:","Activado"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","ConsultorioExtCalera"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","6"
"Número de procesadores lógicos:","12"

Intel Core i5-10500

"Nombre del procesador:","Intel Core i5-10500"
"Frecuencia del procesador original:","3100.0 MHz"
"Original Processor Frequency [MHz]:","3100"
"CPU ID:","000A0653"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","G1"
"Nombre del código de la CPU:","Comet Lake-S"
"Tecnología de CPU:","14 nm"
"CPU S-Spec:","SRH3A"
"Potencia de diseño térmico de CPU (TDP):","65.0 W"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = Ilimitado"
"Límite de energía de la CPU 1 (larga duración) / Energía base del procesador (PBP):","Poder = 65.00 W, Hora = 28.00 sec [Desbloqueado]"
"Límite de potencia de CPU 2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 134.00 W, Hora = 2.44 ms [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","100 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H (LGA1200)"
"Revisión de actualización de microcódigo:","F6"
"Número de núcleos de CPU:","6"
"Número de CPU lógicas:","12"
"CPU LFM (mínimo):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (base):","3100.0 MHz = 31 x 100.0 MHz"
"CPU Turbo Max:","4500.0 MHz = 45 x 100.0 MHz [Unlocked]"
"Límites máximos de relación por núcleo (fusionados):","45, 45, 45, 45, 45, 45"
"Límites máximos de relación por núcleo (actual):","45, 45, 45, 45, 45, 45"
"CPU actual:","2594.3 MHz = 26 x 99.8 MHz @ 0.7981 V"
"LLC / Ring máximo:","4200.0 MHz = 42.00 x 100.0 MHz"
"LLC / Ring actual:","2294.9 MHz = 23.00 x 99.8 MHz"
"System Agent actual:","798.2 MHz = 8.00 x 99.8 MHz"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v3.0"
"Velocidad máxima de enlace DMI:","8.0 GT/s"
"Velocidad actual del enlace DMI:","8.0 GT/s"
"Ring to Core Offset:","Activado"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","45x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","140.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","23x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","35.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","42x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","140.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","Soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","23x"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","35.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","No soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","N/A"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","20.00 A"
"IA Domain Loadline (AC/DC):","1.700 / 1.700 mOhm"
"GT Domain Loadline (AC/DC):","4.000 / 4.000 mOhm"
"Caché L1:","Instruction: 6 x 32 KBytes, Data: 6 x 32 KBytes"
"Caché L2:","Integrated: 6 x 256 KBytes"
"Caché L3:","12 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
