
DESKTOP-Q5FK1MJ

"Nombre del ordenador:","DESKTOP-Q5FK1MJ"
"Sistema operativo:","Microsoft Windows 10 Professional (x64) Build 19045.2006"
"Arranque UEFI:","Presente"
"Arranque seguro:","No capaz"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","demanda"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","2"
"Número de procesadores lógicos:","4"

Intel Core i3-2100

"Nombre del procesador:","Intel Core i3-2100"
"Frecuencia del procesador original:","3100.0 MHz"
"Original Processor Frequency [MHz]:","3100"
"CPU ID:","000206A7"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","Q0"
"Nombre del código de la CPU:","Sandy Bridge-DT"
"Tecnología de CPU:","32 nm"
"CPU S-Spec:","SR05C"
"Potencia de diseño térmico de CPU (TDP):","65.0 W"
"Corriente de diseño térmico de núcleos de CPU IA (TDC):","97.5 A"
"Corriente de diseño térmico de núcleos de CPU GT (TDC):","32.5 A"
"Límites de potencia de la CPU (máx.):","Poder = 84.00 W, Hora = 1.00 sec"
"Límite de energía de la CPU 1 (larga duración) / Energía base del procesador (PBP):","Poder = 65.00 W, Hora = 1.00 sec [Desbloqueado]"
"Límite de potencia de CPU 2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 81.25 W, Hora = Ilimitado [Desbloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","102 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H2 (LGA1155)"
"Revisión de actualización de microcódigo:","2F"
"Número de núcleos de CPU:","2"
"Número de CPU lógicas:","4"
"CPU LFM (mínimo):","1600.0 MHz = 16 x 100.0 MHz"
"CPU HFM (base):","3100.0 MHz = 31 x 100.0 MHz"
"CPU Turbo Max:","3100.0 MHz = 31 x 100.0 MHz [Locked]"
"Límites del relación turbo:","31x (1-4c)"
"CPU actual:","3093.3 MHz = 31 x 99.8 MHz @ 1.1409 V"
"Tipo de bus de CPU:","Intel Direct Media Interface (DMI) v2.0"
"Velocidad máxima de enlace DMI:","5.0 GT/s"
"Velocidad actual del enlace DMI:","5.0 GT/s"
"Caché L1:","Instruction: 2 x 32 KBytes, Data: 2 x 32 KBytes"
"Caché L2:","Integrated: 2 x 256 KBytes"
"Caché L3:","3 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
